[2] function
[6] MOV
[8] PUSH
[11] MOV
[13] PUSH
[14] ADD
[16] POP
[20] MOV
[24] MOV
[28] MOV
[32] MOV
[36] MOV
[40] MOV
[42] PUSH
[46] MOV
[48] PUSH
[49] ADD
[51] POP
[55] MOV
[59] MOV
[61] PUSH
[65] MOV
[67] PUSH
[68] CMP
[70] JL
[72] CALL
[72] linc_dif
[73] RET
[73] var dif
[73] var dif
[73] var dif
[73] var dif
[76] MOV
[80] MOV
[84] MOV
[87] MOV
[91] MOV
[93] IN
[97] MOV
[99] CALL
[103] MOV
[105] PUSH
[106] OUT
[107] END
